2012 Rank Order,1980 Rank Order,Question and Correct Response,Probability of Recall,,,Response Latency,,Proportion of Errors,,Confidence Judgments,,,,Peer Judgments,,Judge Corrs
268,234,WHAT IS THE LAST NAME OF THE BASEBALL PLAYER WHO PITCHED A PERFECT GAME IN THE 1956 WORLD SERIES? (LARSEN),0,,217,,10.3,0.36,0.64,22,,22,79,34,223,.56*
269,239,WHAT IS THE LAST NAME OF THE FIRST MAN TO RUN THE MILE IN UNDER FOUR MINUTES? (BANNISTER),0,,158,,13.5,0.25,0.75,23.2,,23.2,40,22.6,161,.59*
270,240,WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “BROTHERS KARAMAZOV”? (DOSTOYEVSKI),0,,200,,10.9,0.14,0.87,7.5,,7.5,27,15,208,.78*
271,244,WHAT IS THE NAME OF THE AUTHOR WHO RECEIVED A PULITZER PRIZE FOR HIS WRITINGS ABOUT ABRAHAM LINCOLN? (SANDBURG),0,,205,,10.9,0.1,0.9,6.3,,6.3,20,19.4,210,0.41
272,246,WHAT IS THE LAST NAME OF THE MAN WHO CREATED THE COMIC STRIP “WOODY WOODPECKER”? (LANTZ),0,,219,,9.9,0.21,0.79,16.1,,16.1,45,21.7,225,.69*
273,252,WHAT IS THE NAME OF THE INSTRUMENT USED TO MEASURE WIND SPEED? (ANEMOMETER),0,,207,,13.7,0.41,0.59,27.8,,27.8,85,31.6,213,.57*
274,253,WHAT IS THE LAST NAME OF THE AUTHOR OF “OUR TOWN”? (WILDER),0,,142,,11.1,0.14,0.86,11,,11,20,23.2,147,.62*
275,256,WHAT IS THE LAST NAME OF THE SINGER WHO MADE A HIT RECORDING OF THE SONG “WHO’S SORRY NOW”? (FRANCIS),0,,207,,12.6,0.15,0.85,5.3,,5.3,32,22.8,214,0.33
276,257,WHAT IS THE LAST NAME OF THE CUBAN LEADER THAT CASTRO OVERTHREW? (BATISTA),0,,141,,17.5,0.12,0.88,20.4,,20.4,16,32.2,144,0.33
277,260,WHAT IS THE NAME OF THE RUBBER ROLLER ON A TYPEWRITER? (PLATEN),0,,200,,13.4,0.23,0.77,7.8,,7.8,46,19.5,205,.41*
278,263,WHAT WAS THE NAME OF THE LARGEST CONFEDERATE MILITARY PRISON DURING THE CIVIL WAR? (ANDERSONVILLE),0,,139,,18.3,0.14,0.86,24.8,,24.8,19,29.6,138,.50*
279,266,WHAT IS THE LAST NAME OF THE AUTHOR OF “THE AGONY AND THE ECSTASY”? (STONE),0,,204,,10.5,0.1,0.9,6.8,,6.8,21,17.4,213,0.44
280,268,WHAT IS THE LAST NAME OF FLASH’S GIRLFRIEND IN THE COMIC STRIP “FLASH GORDON”? (ARDEN),0,,214,,11,0.2,0.8,5.6,,5.6,42,19.9,217,0.04
281,269,WHAT IS THE NAME OF THE FIRST MOVIE TO RECEIVE THE ACADEMY AWARD FOR BEST PICTURE? (WINGS),0,,127,,17.8,0.24,0.76,23.8,,23.8,30,19.6,130,.59*
282,270,WHAT IS THE LAST NAME OF THE DISCOVERER OF THE VACCINATION FOR SMALLPOX? (JENNER),0,,204,,12.8,0.19,0.81,12,,12,39,23,208,.84*
283,271,WHAT IS THE LAST NAME OF THE BOY IN THE BOOK “TREASURE ISLAND”? (HAWKINS),0,,144,,10.4,0.2,0.8,20,,20,29,32,146,.48*
284,272,WHAT IS THE LAST NAME OF THE BOXER WHO WON THE BOXING TITLE FROM JOHN L. SULLIVAN? (CORBETT),0,,211,,10.6,0.42,0.58,24.7,,24.7,88,28,215,.43*
285,275,WHAT IS THE LAST NAME OF THE MAN WHO WROTE THE SONG “HOW DEEP IS THE OCEAN”? (BERLIN),0,,145,,8.6,0.12,0.88,2.9,,2.9,17,20.9,148,0.27
286,277,WHAT WAS THE LAST NAME OF BILLY THE KID? (BONNEY),0,,138,,11.5,0.25,0.75,17.1,,17.1,35,25.4,142,0.23
287,278,WHAT IS THE LAST NAME OF THE SINGER WHOSE THEME SONG WAS “WHEN THE BLUE OF THE NIGHT MEETS THE GOLD OF THE DAY”? (CROSBY),0,,214,,11.7,0.13,0.87,8.3,,8.3,28,17.9,219,0.27
288,279,FROM WHAT MUSICAL IS THE SONG “BAUBLES BANGLES AND BEADS”? (KISMET),0,,147,,12,0.16,0.84,15.3,,15.3,24,21.3,148,.55*
289,280,WHAT WAS THE LAST NAME OF THE ACTOR WHO PORTRAYED DR. WATSON IN THE SHERLOCK HOLMES SERIES? (BRUCE),0,,204,,14.2,0.25,0.75,36.6,,36.6,50,32.1,211,.76*
290,281,WHAT IS THE LAST NAME OF THE MAN WHO WAS MOST RESPONSIBLE FOR PHOTOGRAPHING THE U.S. CIVIL WAR? (BRADY),0,,142,,14.9,0.13,0.87,12.4,,12.4,18,19.5,145,0.39
291,283,WHAT IS THE NAME OF A NUMBER TWO WOOD IN GOLF? (BRASSIE),0,,149,,15,0.5,0.5,26.8,,26.8,74,37,151,.38*
292,287,WHAT IS THE LAST NAME OF THE POET WHO WROTE THE LINE “INTO EACH LIFE A LITTLE RAIN MUST FALL”? (LONGFELLOW),0,,130,,13,0.19,0.81,11,,11,25,20.6,131,.49*
293,289,WHAT WAS THE NAME OF GENE AUTRY’S HORSE? (CHAMPION),0,,154,,11.7,0.19,0.81,9.2,,9.2,29,14.7,159,.58*
294,291,WHAT IS THE NAME OF THE TOWN THROUGH WHICH LADY GODIVA SUPPOSEDLY MADE HER FAMOUS RIDE? (COVENTRY),0,,138,,16.5,0.21,0.79,11.7,,11.7,29,22,140,.62*
295,294,WHAT IS THE LAST NAME OF THE FIRST WOMAN TO SWIM ACROSS THE ENGLISH CHANNEL? (EDERLE),0,,203,,9.2,0.15,0.85,2.2,,2.2,30,19.2,209,0.14
296,295,WHAT IS THE LAST NAME OF THE FIRST FLIER TO FLY SOLO AROUND THE WORLD? (POST),0,,145,,19.5,0.41,0.59,37.9,,37.9,60,39,145,.62*
297,298,WHAT IS THE LAST NAME OF THE MAN WHO WROTE THE POEM “IT COULDN’T BE DONE”? (GUEST),0,,223,,10.1,0.19,0.81,6.9,,6.9,43,15.7,228,.55*
298,299,WHO WAS THE RACEHORSE OF THE YEAR FOR MANY SUCCESSIVE YEARS IN THE 1960S? (KELSO),0,,146,,16,0.49,0.51,32.1,,32.1,72,29.8,149,.64*
299,300,WHAT IS THE HIGHEST MOUNTAIN IN SOUTH AMERICA? (ACONCAGUA),0,,202,,12.8,0.33,0.67,32.5,,32.5,66,29.8,210,.68*
